Cod_Cliente,min,max
1598703,50.0,1700.0
1598705,2.5,2300.0
1598712,5.0,1169.0
1598767,1.5,1000.0
1598772,7.0,1000.0
1598774,3.0,600.0
1598775,1.0,50.0
1598784,2.0,1200.0
1598786,20.0,600.0
1598790,10.0,1000.0
1598794,20.0,1500.0
1598796,5.0,1079.08
1598801,50.0,3000.0
1598804,4.0,1470.0
1598825,1.0,1000.0
1598896,22.5,3000.0
1598903,20.0,3500.0
1598905,2.0,2060.0
1598908,1.0,32.0
1598909,10.0,970.0
1598914,10.0,8500.0
1598917,15.0,380.33
1598918,1.0,10000.0
1598921,10.0,400.0
1598930,5.5,330.0
1598933,30.0,2000.0
1598939,10.0,1500.0
1598940,1.0,1007.5
1598949,100.0,300.0
1598954,1.0,100.0
1598957,2.0,2100.0
1598959,2.0,1000.0
1598960,1.5,793.68
1598962,2.0,280.0
1598965,2.97,3000.0
1598966,2.0,1500.0
1598970,1.0,400.0
1598976,7.5,1412.0
1598981,1.0,320.0
1598983,14.97,615.0
1598984,1.0,400.0
1598985,5.0,100.0
1598989,2.3,1000.0
1598992,147.84,2000.0
1598993,1.0,850.0
1598998,1.0,860.0
1599004,5.0,1257.0
1599005,1.0,120.0
1599008,15.0,3500.0
1599018,8.0,1000.0
1599019,1.0,240.0
1599020,1.14,500.0
1599031,1.0,32.82
1599032,2.0,900.0
1599033,1.24,5032.0
1599038,2.5,830.0
1599039,4.0,2000.0
1599042,1.0,334.0
1599045,3.75,3680.2
1599048,10.0,400.0
1599051,100.0,600.0
1599054,4.4,1000.0
1599057,5.0,1000.0
1599060,20.0,1000.0
1599065,10.0,300.0
1599067,1.0,800.0
1599069,9.0,784.0
1599071,1.0,3900.0
1599074,15.0,1672.8
1599075,13.05,1156.35
1599080,10.0,4536.0
1599081,35.0,1000.0
1599082,3.36,350.0
1599090,20.0,2337.0
1599095,10.0,408.0
1599096,18.73,340.0
1599097,1.0,2188.44
1599098,25.0,540.0
1599100,1.0,930.0
1599105,1.5,500.0
1599107,13.0,500.0
1599109,20.0,336.0
1599111,5.0,800.0
1599112,1.0,466.53
1599113,1.5,730.0
1599114,3.0,1000.0
1599120,120.0,2000.0
1599123,20.0,2600.0
1599124,12.0,3000.0
1599126,3.0,740.0
1599135,2.0,300.0
1599141,15.0,4000.0
1599142,130.0,1100.0
1599146,5.0,390.0
1599149,30.0,1500.0
1599151,15.0,2145.0
1599153,3.0,5000.0
1599155,5.0,2000.0
1599159,40.0,4000.0
1599161,1.0,450.0
1599162,20.0,1100.0
1599163,45.0,500.0
1599166,5.0,1036.0
1599167,20.0,1708.0
1599168,5.0,1000.0
1599170,1.0,1880.0
1599171,40.0,1900.0
1599174,1.0,607.78
1599177,1.5,281.0
1599185,20.0,740.0
1599186,1.0,1000.0
1599187,6.0,575.0
1599189,2.0,1000.0
1599193,15.0,4000.0
1599196,60.0,2000.0
1599200,7.0,315.0
1599201,1.0,200.0
1599202,20.0,3000.0
1599203,38.0,2000.0
1599206,10.0,500.0
1599207,1.0,1200.0
1599208,5.0,1010.0
1599209,6.0,2000.0
1599210,25.0,4000.0
1599212,2.0,1000.0
1599214,2.0,1500.0
1599217,25.0,4000.0
1599219,15.0,902.0
1599222,1.45,1200.0
1599223,4.99,1000.0
1599224,10.0,930.0
1599227,20.0,720.5
1599228,10.0,510.0
1599234,10.0,1000.0
1599239,50.0,3000.0
1599241,2.0,860.0
1599244,3.95,1319.22
1599246,1.5,150.0
1599247,1.0,861.0
1599249,9.8,500.0
1599257,5.0,2000.0
1599262,20.0,1500.0
1599270,20.0,3000.0
1599272,3.75,388.0
1599273,2.0,2200.0
1599288,1.0,603.82
1599290,20.0,800.0
1599292,4.0,1800.0
1599295,16.4,1345.0
1599296,2.5,5000.0
1599298,1.0,500.0
1599304,3.0,1500.0
1599305,1.0,769.0
1599306,5.15,2000.0
1599312,1.0,1000.0
1599316,14.05,800.0
1599318,16.76,1000.0
1599321,1.0,2030.0
1599326,10.0,1000.0
1599332,50.0,2600.0
1599335,10.0,1592.0
1599337,20.0,600.0
1599346,1.0,840.0
1599347,5.0,1100.0
1599349,50.0,1800.0
1599351,20.0,900.0
1599357,20.0,272.93
1599360,5.0,7000.0
1599362,8.2,2000.0
1599364,1.0,900.0
1599365,10.0,651.2
1599366,224.52,485.95
1599367,3.0,4000.0
1599373,22.0,100.0
1599376,25.0,1500.0
1599389,1.0,4275.0
1599390,2.0,600.0
1599391,8.0,1000.0
1599392,6.4,1273.22
1599393,5.0,7000.0
1599394,1.0,2000.0
1599396,5.0,900.0
1599397,5.0,7500.0
1599398,20.0,1000.0
1599399,1.0,800.0
1599401,1.0,2550.0
1599405,14.42,2000.0
1599407,10.42,1000.0
1599415,25.0,1292.66
1599416,3.0,1512.0
1599417,200.0,1300.0
1599419,2.47,500.0
1599422,7.0,800.0
1599429,1.0,2500.0
1599437,30.0,700.0
1599439,2.0,1200.0
1599440,9.99,2000.0
1599441,48.3,4500.0
1599444,30.0,800.0
1599452,40.0,3200.0
1599453,8.0,170.0
1599456,60.0,1752.0
1599462,8.5,2000.0
1599465,2.0,1400.0
1599470,11.6,1200.0
1599474,41.0,800.0
1599478,18.0,1079.2
1599479,6.0,582.0
1599481,11.0,1560.0
1599483,7.0,1020.0
1599485,2.5,1093.72
1599490,21.91,400.0
1599496,15.0,1000.0
1599497,20.0,160.0
1599501,5.0,3000.0
1599502,5.0,1500.0
1599503,20.0,1270.0
1599505,10.0,974.05
1599506,43.0,1460.0
1599508,1.0,1099.5
1599513,1.0,2861.5
1599516,5.0,1000.0
1599517,18.81,1000.0
1599521,6.11,250.0
1599528,15.0,3288.0
1599529,2.0,1200.0
1599531,3.5,797.99
1599532,15.0,2200.0
1599536,5.44,2500.0
1599539,1.0,1522.15
1599540,20.0,1250.0
1599542,15.0,500.0
1599543,22.0,878.0
1599544,13.3,550.0
1599547,1.0,1503.0
1599548,5.0,275.1
1599551,25.0,680.0
1599552,6.5,720.0
1599553,40.0,1350.0
1599560,1.0,450.2
1599563,8.0,2000.0
1599564,30.0,700.0
1599566,5.0,1050.0
1599567,2.0,315.0
1599569,10.0,1600.0
1599571,2.0,3000.0
1599572,4.67,6000.0
1599573,35.0,500.0
1599580,3.95,2546.0
1599585,1.0,480.0
1599588,10.0,150.0
1599589,8.0,1094.25
1599590,35.0,1023.36
1599592,100.0,1700.0
1599596,18.0,600.0
1599597,6.93,1824.76
1599598,30.0,960.0
1599600,1.0,2100.0
1599603,1.0,200.0
1599613,20.0,1314.0
1599614,5.0,1000.0
1599621,15.0,3500.0
1599623,1.0,1502.04
1599624,5.0,2000.0
1599625,3.25,503.28
1599627,4.0,5000.0
1599628,50.0,1118.0
1599632,5.0,1657.0
1599633,130.03,3041.03
1599636,35.0,3500.0
1599639,12.0,500.0
1599641,30.0,795.0
1599643,2.0,4000.0
1599644,12.0,2500.0
1599645,1.0,2000.0
1599649,30.0,3000.0
1599650,16.0,2020.0
1599651,4.0,1000.0
1599653,1.0,220.0
1599654,20.0,285.0
1599656,5.0,4540.0
1599658,24.5,1000.0
1599672,15.0,1212.89
1599675,30.0,1155.0
1599678,2.5,10000.0
1599682,3.6,1800.0
1599683,20.0,5000.0
1599685,5.0,855.0
1599687,40.0,1200.0
1599688,5.0,300.0
1599689,35.73,1500.0
1599690,10.0,810.0
1599691,30.0,2500.0
1599694,2.0,600.0
1599698,1.0,1023.0
1599701,11.0,3750.0
1599704,4.95,1731.0
1599707,12.0,1500.0
1599709,45.0,760.0
1599712,12.48,1513.65
1599713,10.0,1300.0
1599717,25.0,5000.0
1599722,10.0,1000.0
1599725,10.0,4188.05
1599727,1.0,478.3
1599728,2.0,1500.0
1599729,5.0,740.0
1599732,10.0,2500.0
1599734,5.0,500.0
1599736,40.0,2000.0
1599737,130.0,2000.0
1599738,5.0,2223.64
1599739,4.25,1450.0
1599740,2.0,700.0
1599741,5.0,5180.0
1599742,5.0,750.0
1599743,25.5,3102.0
1599748,310.0,5000.0
1599753,4.99,2645.87
1599759,40.0,1900.0
1599761,5.0,1911.0
1599763,1.0,1000.0
1599765,10.0,1000.0
1599767,4.0,3000.0
1599769,5.88,2500.0
1599770,50.0,1000.0
1599771,30.0,500.0
1599776,1.0,3000.0
1599780,1.0,708.0
1599782,20.0,1000.0
1599786,20.0,1800.0
1599787,81.0,4000.0
1599788,7.0,280.0
1599789,6.0,700.0
1599790,1.0,500.0
1599792,5.0,500.0
1599805,30.0,890.0
1599807,1.0,1000.0
1599810,4.53,1812.0
1599812,11.09,2260.0
1599813,20.0,1156.8
1599815,20.0,1015.4
1599817,15.0,360.0
1599819,1.0,1487.0
1599821,10.0,5000.0
1599824,20.0,500.0
1599826,30.0,1500.0
1599830,18.0,3100.0
1599833,16.0,2245.0
1599834,50.0,900.0
1599838,3.0,2000.0
1599840,5.0,2800.0
1599841,50.0,500.0
1599842,3.0,780.0
1599844,20.0,373.0
1599846,100.0,200.0
1599849,20.0,853.0
1599851,32.0,1200.0
1599854,2.5,816.0
1599855,30.0,8300.0
1599860,11.0,3400.0
1599864,1.0,1496.0
1599865,10.0,1325.14
1599867,12.0,5000.0
1599874,30.0,5000.0
1599875,15.0,800.0
1599879,4.63,3000.0
1599881,20.0,1205.0
1599884,5.0,5000.0
1599885,50.0,1000.0
1599889,60.0,450.0
1599891,5.0,2000.0
1599892,1.0,110.0
1599893,73.67,1000.0
1599894,1.0,500.0
1599899,12.0,900.0
1599900,20.0,10000.0
1599902,2.36,640.0
1599904,2.0,310.0
1599905,1.0,1130.1
1599906,15.0,1073.0
1599911,3.93,312.36
1599914,10.0,500.0
1599915,7.0,5000.0
1599919,20.0,2740.0
1599921,5.0,900.0
1599922,2.0,1910.0
1599923,6.0,1090.0
1599924,20.0,250.0
1599927,10.0,1606.85
1599928,15.0,1900.0
1599933,15.0,275.0
1599934,10.0,1220.0
1599935,3.0,3200.0
1599936,14.0,250.0
1599939,65.0,1000.0
1599943,1.75,2000.0
1599944,3.0,736.0
1599945,50.0,1000.0
1599948,30.0,500.0
1599949,30.0,2000.0
1599950,2.0,3000.0
1599951,1.0,654.25
1599955,162.89,1000.0
1599957,80.0,500.0
1599958,1.0,246.0
1599959,3.0,7000.0
1599962,20.0,320.0
1599964,5.44,4000.0
1599966,1.0,3997.0
1599967,10.0,862.13
1599969,1.9,180.0
1599970,50.0,1000.0
1599978,10.0,250.0
1599982,7.5,1000.0
1599986,34.0,980.0
1599988,8.0,1000.0
1599990,25.0,895.0
1599991,7.0,635.5
1599997,20.0,200.0
1600001,4.67,1050.0
1600010,6.81,850.0
1600011,35.0,7850.0
1600013,2.0,1100.0
1600014,5.0,1000.0
1600019,30.0,4500.0
1600023,1.5,1000.0
1600024,3.0,180.0
1600025,5.0,3200.0
1600032,16.0,580.0
1600033,9.25,482.0
1600034,10.0,80.0
1600038,10.0,500.0
1600041,20.0,1235.0
1600043,3.0,460.84
1600047,15.0,1500.0
1600052,20.0,3000.0
1600058,30.0,2000.0
1600059,28.0,1253.53
1600060,1.0,2606.33
1600062,20.0,1030.63
1600063,48.4,3145.83
1600065,13.0,1000.0
1600066,5.0,127.88
1600067,6.0,1250.0
1600071,11.49,1511.3
1600072,25.0,1000.0
1600076,1.06,1250.0
1600078,4.5,4000.0
1600079,5.0,3000.0
1600081,10.0,1500.0
1600084,15.0,3300.0
1600090,3.0,2428.36
1600091,2.0,2988.9
1600092,15.01,2000.0
1600094,20.0,1014.63
1600095,10.0,2100.0
1600096,1.0,1500.0
1600098,2.0,338.0
1600103,15.0,210.0
1600105,30.0,2156.2
1600106,10.0,2100.0
1600107,40.0,6055.98
1600110,200.0,1000.0
1600114,21.0,1000.0
1600118,7.0,270.0
1600120,9.31,1000.0
1600122,11.94,1000.0
1600123,1.71,600.5
1600124,30.0,270.0
1600131,10.0,1037.91
1600133,10.0,1500.0
1600134,3.08,1000.0
1600135,40.0,2460.0
1600138,20.0,500.0
1600140,40.0,2000.0
1600141,1.0,3000.0
1600147,100.0,2000.0
1600148,10.0,5000.0
1600150,110.0,2000.0
1600155,15.0,1900.0
1600156,32.0,1000.0
1600157,8.0,480.0
1600159,120.0,2000.0
1600163,2.0,3700.0
1600165,10.0,4000.0
1600166,7.0,730.0
1600169,5.0,1500.0
1600171,20.0,520.0
1600173,27.0,580.0
1600175,2.91,1000.0
1600177,20.0,500.0
1600181,10.0,1250.0
1600185,25.0,774.0
1600191,2.0,2000.0
1600193,5.0,2600.0
1600194,1.0,1000.0
1600198,1.13,220.0
1600200,30.0,620.0
1600204,10.0,800.0
1600208,2.99,3403.05
1600209,9.1,565.0
1600214,360.0,2000.0
1600217,25.0,1000.0
1600220,20.0,420.0
1600228,10.0,2890.0
1600232,2.0,600.0
1600233,50.0,500.0
1600235,8.18,3000.0
1600242,25.0,450.0
1600245,3.35,494.94
1600247,5.0,1000.0
1600250,26.15,1300.0
1600251,10.0,2530.0
1600255,20.0,810.0
1600257,1.0,277.29
1600259,30.0,560.0
1600260,50.0,5000.0
1600261,5.0,782.07
1600264,50.0,3300.0
1600265,35.0,4999.0
1600267,10.0,340.0
1600268,65.01,1000.0
1600274,10.0,530.0
1600290,30.0,3500.0
1600294,40.0,5500.0
1600298,15.0,400.0
1600301,1.0,450.0
1600303,1.0,1300.0
1600305,40.0,5000.0
1600309,100.0,300.0
1600311,5.0,1575.0
1600318,19.0,1000.0
1600319,4.0,6500.0
1600325,80.0,530.0
1600327,1.33,4021.52
1600331,60.0,2060.0
1600333,3.9,1366.05
1600334,10.0,1500.0
1600340,60.0,570.0
1600342,24.64,3000.0
1600344,20.0,920.0
1600347,30.0,380.0
1600348,5.0,8000.0
1600353,30.0,2800.0
1600354,30.0,3900.0
1600356,10.0,750.0
1600358,20.0,4319.0
1600367,5.0,650.0
1600376,5.0,1000.0
1600377,50.0,440.0
1600378,4.0,830.0
1600379,10.0,2200.0
1600383,16.46,362.5
1600387,21.0,108.0
1600389,30.0,1752.0
1600390,50.0,2350.0
1600395,2.16,2000.0
1600397,10.0,1000.0
1600399,5.0,1203.6
1600401,20.0,700.0
1600402,20.0,4420.0
1600404,1.0,1090.0
1600407,3.8,1000.0
1600408,30.0,433.16
1600409,6.0,180.0
1600410,25.0,1770.0
1600418,50.0,400.0
1600421,30.0,3600.0
1600424,1.0,5100.0
1600426,60.0,944.0
1600428,15.0,3300.0
1600431,2.0,2000.0
1600437,20.0,3335.0
1600439,5.0,500.0
1600440,20.0,610.0
1600442,10.0,2952.78
1600443,20.0,1528.03
1600447,18.89,1500.0
1600450,2.0,4000.0
1600454,35.0,1000.0
1600455,30.0,3000.0
1600459,30.0,2955.0
1600460,100.0,1000.0
1600461,10.0,1200.0
1600462,38.0,1800.0
1600465,15.0,1260.0
1600467,10.0,2300.0
1600469,20.0,500.0
1600476,40.0,400.0
1600477,35.0,2400.0
1600479,15.0,2000.0
1600481,86.69,2900.0
1600482,35.0,942.0
1600484,10.3,2761.11
1600485,2.5,670.0
1600491,1.5,5000.0
1600500,14.75,823.33
1600502,59.0,1368.0
1600507,10.0,1450.0
1600511,25.0,979.0
1600512,10.0,862.13
1600514,10.0,900.0
1600522,5.0,4300.0
1600533,11.0,4400.0
1600535,1.0,675.0
1600538,4.33,1400.0
1600541,10.0,7760.0
1600543,20.0,1106.45
1600547,3.16,1600.0
1600549,50.0,1553.0
1600550,10.0,700.0
1600559,30.0,3800.0
1600562,10.0,3000.0
1600574,3.0,6500.0
1600577,4.0,4300.0
1600583,1.0,1030.0
1600586,1.4,1400.0
1600587,10.0,1800.0
1600592,2.8,10000.0
1600594,21.0,1400.0
1600600,10.0,1200.0
1600603,5.0,9480.0
1600604,10.0,668.0
1600606,15.0,400.0
1600608,1.0,500.0
1600609,4.0,1300.5
1600611,5.0,1300.0
1600617,100.0,5300.0
1600618,15.0,120.0
1600624,14.51,3000.0
1600630,40.0,1000.0
1600633,5.0,400.0
1600638,4.0,1250.0
1600648,1.0,1100.0
1600663,1.0,150.0
1600667,5.0,1000.0
1600669,5.0,656.0
1600671,16.64,1000.0
1600685,17.5,580.0
1600688,1.5,820.25
1600689,15.0,2000.0
1600698,90.0,1000.0
1600700,20.0,6940.0
1600703,10.0,1100.0
1600704,9.97,943.96
1600705,15.0,2682.0
1600707,33.64,5000.0
1600708,19.0,1251.13
1600709,5.0,2020.0
1600712,1.0,5300.0
1600714,12.44,300.99
1600717,20.0,1147.0
1600723,34.0,4000.0
1600726,5.0,9000.0
1600729,21.0,1200.0
1600730,20.0,1271.0
1600731,1.0,700.0
1600732,59.0,500.0
1600735,4.0,1300.0
1600736,1.0,400.0
1600741,100.0,400.0
1600750,4.0,1000.0
1600751,4.0,2800.0
1600752,5.0,1500.0
1600754,20.0,540.0
1600756,50.0,1068.0
1600759,17.0,5000.0
1600765,35.0,1094.0
1600770,8.0,9999.0
1600776,27.08,5000.0
1600777,5.5,500.0
1600778,30.0,1261.0
1600780,1.0,2100.0
1600781,2.0,2000.0
1600785,1.7,700.0
1600788,1.25,500.0
1600808,10.0,3000.0
1600825,12.2,3680.0
1600838,15.5,570.0
1600843,28.28,8000.0
1600845,50.0,500.0
1600850,1.0,500.0
1600851,9.0,1200.0
1600852,33.91,1060.0
1600853,10.0,500.0
1600860,32.13,600.0
1600862,20.0,500.0
1600863,35.0,500.0
1600869,40.0,6400.0
1600870,263.39,938.85
1600871,5.0,1700.0
1600872,30.0,2000.0
1600875,10.0,1256.0
1600876,13.62,1200.0
1600879,30.0,1200.0
1600886,20.0,500.0
1600887,60.0,1500.0
1600892,10.0,892.0
1600894,1.0,1000.5
1600895,24.59,1000.0
1600896,70.0,1000.0
1600897,3.0,1900.0
1600899,8.0,3073.5
1600908,20.0,2700.0
1600915,50.0,1500.0
1600917,5.0,2000.0
1600918,2.0,893.0
1600919,30.0,2325.0
1600938,10.0,1000.0
1600943,7.5,200.0
1600959,40.0,7000.0
1600962,5.15,2000.0
1600965,6.0,200.0
1600970,7.0,800.0
1600980,40.0,1700.0
1600983,20.0,971.09
1600993,2.5,2240.0
1600994,30.0,900.0
1600999,30.0,3000.0
1601004,20.0,6750.0
1601006,1.0,686.64
1601013,17.0,2831.0
1601015,30.0,1000.0
1601022,25.0,253.0
1601026,1.0,800.0
1601033,30.0,5000.0
1601037,14.25,1757.35
1601042,25.0,300.0
1601050,20.0,660.0
1601052,2.75,800.0
1601055,1.0,1700.0
1601059,15.0,1000.0
1601064,20.3,2565.0
1601077,26.0,1000.0
1601095,55.0,3000.0
1601098,11.14,2709.68
1601108,1.0,1000.0
1601116,5.0,1000.0
1601118,22.0,1171.0
1601119,27.5,820.0
1601122,5.0,941.0
1601126,1.0,780.0
1601127,40.0,860.0
1601130,10.0,200.0
1601131,3.0,1500.0
1601132,48.0,753.0
1601134,6.5,1310.0
1601136,20.0,400.0
1601141,10.0,1000.0
1601143,60.0,2000.0
1601144,20.0,6870.5
1601147,1.0,400.0
1601152,1.41,70.0
1601158,29.0,3100.0
1601161,20.0,2616.15
1601163,5.0,1900.0
1601167,1.0,1200.0
1601168,72.0,1467.0
1601173,100.0,884.71
1601182,1.0,2277.38
1601191,10.0,728.0
1601193,18.0,665.0
1601198,6.0,500.0
1601207,30.0,1320.0
1601209,40.0,694.0
1601218,2.0,1200.0
1601219,5.0,2100.0
1601220,40.0,900.0
1601226,73.0,2900.0
1601227,5.0,2750.0
1601230,42.0,690.0
1601236,70.0,1100.0
1601242,20.0,6400.0
1601244,10.0,4890.0
1601261,5.15,302.0
1601266,30.0,100.0
1601275,10.0,465.0
1601281,25.0,3580.0
1601282,20.0,1300.0
1601288,17.24,500.0
1601297,1.0,812.85
1601300,30.0,500.0
1601301,50.35,2000.0
1601305,4.5,240.0
1601313,3.46,1000.0
1601318,5.0,1190.0
1601322,20.0,341.0
1601326,1.0,600.0
1601329,6.0,450.0
1601334,10.0,4210.0
1601336,14.35,500.0
1601341,7.0,7000.0
1601343,58.0,3119.43
1601345,10.0,4000.0
1601352,10.3,759.0
1601356,3.0,2000.0
1601360,2.0,1000.0
1601364,20.0,773.0
1601366,35.0,2000.0
1601367,10.0,2100.0
1601370,2.0,3900.0
1601387,16.0,1000.0
1601389,18.0,610.0
1601391,25.0,340.0
1601392,70.0,500.0
1601393,100.31,386.02
1601394,37.75,3000.0
1601396,2.0,400.0
1601398,30.0,1000.0
1601401,20.0,800.0
1601434,6.0,4000.0
1601436,30.0,300.0
1601440,45.0,1700.0
1601443,4.0,800.0
1601448,4.53,3000.0
1601452,3.0,1500.0
1601456,10.0,500.0
1601458,1.3,612.0
1601469,4.0,300.0
1601473,10.0,880.0
1601475,25.0,7000.0
1601476,15.0,450.0
1601477,10.0,500.0
1601484,21.36,1157.59
1601485,15.0,1100.0
1601493,20.0,3645.0
1601494,200.0,6000.0
1601496,55.0,500.0
1601497,50.0,549.0
1601501,20.0,2000.0
1601502,380.0,2000.0
1601504,3.0,1000.0
1601508,5.0,1472.29
1601511,5.09,2000.0
1601515,9.55,1300.0
1601521,100.0,300.0
1601525,40.0,1100.0
1601567,2.0,500.0
1601577,11.82,1250.0
1601581,5.0,1000.0
1601585,4.67,500.0
1601586,50.0,4300.0
1601596,15.0,900.0
1601604,1.0,700.0
1601605,45.0,1000.0
1601610,3.0,1917.0
1601611,15.0,217.0
1601612,50.0,1246.0
1601620,10.0,3000.0
1601621,6.0,700.0
1601623,5.0,2000.0
1601638,10.0,1846.41
1601664,24.55,5292.34
1601671,29.5,1400.0
1601675,7.0,1000.0
1601679,16.72,2600.0
1601683,150.0,300.0
1601692,7.0,1000.0
1601721,17.5,300.0
1601722,20.0,900.0
1601730,26.0,1500.0
1601731,20.0,240.0
1601733,25.0,2500.0
1601734,40.0,1190.0
1601743,200.0,1500.0
1601745,20.0,578.0
1601748,300.0,850.0
1601750,1.0,1000.0
1601751,100.0,600.0
1601752,50.0,600.0
1601759,25.0,278.44
1601770,15.0,400.0
1601774,100.0,6850.0
1601813,12.0,700.0
1601824,4.3,2350.0
1601831,3.0,300.0
1601832,7.0,1500.0
1601838,30.0,1980.0
1601847,25.0,1630.0
1601848,33.0,5000.0
1601850,2.0,1000.0
1601858,1.0,1200.0
1601859,20.0,210.0
1601866,15.0,500.0
1601868,30.0,1600.0
1601870,190.0,200.0
1601872,20.0,600.0
1601874,5.0,2100.0
1601875,37.5,660.0
1601878,20.0,600.0
1601880,50.0,800.0
1601882,30.0,1000.0
1601893,2.0,1900.0
1601903,40.0,1500.0
1601904,20.0,410.0
1601907,12.0,1091.78
1601912,10.0,1500.0
1601915,20.0,1650.0
1601917,20.0,710.63
1601919,10.0,567.0
1601920,10.0,340.0
1601927,5.0,400.0
1601928,30.0,3800.0
1601930,130.0,1000.0
1601932,20.0,500.0
1601940,1.0,986.19
1601951,1.0,52.91
1601957,5.0,720.0
1601964,1.0,50.0
1601969,11.0,600.0
1601972,4.77,1100.0
1601974,110.0,2100.0
1601976,3.72,1500.0
1601980,40.0,1344.0
1601998,100.0,2100.0
1602000,20.0,2000.0
1602001,5.0,1300.0
1602005,30.0,205.0
1602009,7900.0,10000.0
1602010,15.0,1000.0
1602011,40.0,2000.0
1602014,109.0,2700.0
1602015,4.87,620.0
1602019,50.0,1525.0
1602022,5.0,1200.0
1602026,10.0,300.0
1602033,300.01,3500.01
1602035,23.0,2000.0
1602043,60.0,2325.0
1602044,30.0,1000.0
1602045,100.0,500.0
1602048,15.0,1033.0
1602049,10.0,600.0
1602051,14.0,596.0
1602053,24.0,1425.0
1602063,20.0,1680.0
1602065,15.0,1600.0
1602067,1.0,370.0
1602085,15.0,350.0
1602086,20.0,440.0
1602087,3.0,358.0
1602097,20.0,1998.0
1602098,1.0,320.0
1602100,30.0,600.0
1602109,115.0,1000.0
1602112,20.0,500.0
1602113,10.0,1000.0
1602118,20.0,1175.0
1602120,10.0,4410.0
1602126,20.0,2100.0
1602132,18.0,522.0
1602136,25.0,523.0
1602158,20.0,900.0
1602159,50.0,3000.0
1602161,10.0,700.0
1602178,7.0,2000.0
1602180,24.0,1500.0
1602185,15.0,850.0
1602188,12.9,1512.36
1602207,10.0,1100.0
1602213,2.0,255.0
1602215,10.0,600.0
1602221,20.0,500.0
1602223,20.0,1641.02
1602227,19.35,1010.0
1602231,35.0,699.25
1602239,105.0,1000.0
1602241,1.0,1183.7
1602248,70.0,392.5
1602255,14.0,400.0
1602260,21.5,865.14
1602262,19.38,2000.0
1602267,5.0,1900.0
1602272,8.33,300.0
1602275,70.0,626.67
1602280,2.0,550.0
1602283,8.4,700.0
1602285,5.0,1000.0
1602287,20.0,210.0
1602296,20.0,1400.0
1602299,65.0,2000.0
1602301,1.0,150.0
1602307,5.15,4000.0
1602324,3.0,500.0
1602330,1.5,500.0
1602335,20.0,2500.0
1602340,26.0,630.0
1602344,9.76,2459.45
1602353,25.0,605.0
1602354,15.0,2000.0
1602355,20.0,568.62
1602358,10.0,1000.0
1602361,1.0,2650.0
1602364,30.0,500.0
1602366,20.0,2000.0
1602367,1.0,1081.5
1602373,1.5,300.0
1602379,45.0,2000.0
1602386,10.0,7000.0
